iso_time,pid,cpu_percent,rss_kb,vsz_kb,threads,open_fds
2026-08-13T08:13:43+07:00,52227,82.5,163768,1410052,11,1023
2026-08-13T08:13:45+07:00,52227,87.0,163768,1410052,11,1023
2026-08-13T08:13:47+07:00,52227,81.5,163768,1410052,11,1023
2026-08-13T08:13:49+07:00,52227,82.5,163856,1410052,11,1023
2026-08-13T08:13:51+07:00,52227,83.0,163856,1410052,11,1023
2026-08-13T08:13:53+07:00,52227,83.5,163968,1410052,11,1023
2026-08-13T08:13:55+07:00,52227,83.5,163968,1410052,11,1023
2026-08-13T08:13:57+07:00,52227,84.0,163968,1410052,11,1023
2026-08-13T08:13:59+07:00,52227,85.0,163968,1410052,11,1023
2026-08-13T08:14:01+07:00,52227,84.0,163968,1410052,11,1023
2026-08-13T08:14:03+07:00,52227,89.5,163968,1410052,11,1023
2026-08-13T08:14:05+07:00,52227,86.0,163968,1410052,11,1023
2026-08-13T08:14:07+07:00,52227,83.0,163968,1410052,11,1023
2026-08-13T08:14:09+07:00,52227,82.0,163968,1410052,11,1023
2026-08-13T08:14:11+07:00,52227,84.5,163968,1410052,11,1023
2026-08-13T08:14:13+07:00,52227,88.5,163968,1410052,11,1023
2026-08-13T08:14:15+07:00,52227,83.5,163968,1410052,11,1023
2026-08-13T08:14:17+07:00,52227,87.5,163968,1410052,11,1023
2026-08-13T08:14:19+07:00,52227,90.0,164164,1410052,11,1023
2026-08-13T08:14:21+07:00,52227,87.0,164168,1410052,11,1023
2026-08-13T08:14:23+07:00,52227,91.5,164168,1410052,11,1024
2026-08-13T08:14:25+07:00,52227,90.5,164168,1410052,11,1023
2026-08-13T08:14:27+07:00,52227,82.0,164168,1410052,11,1023
2026-08-13T08:14:29+07:00,52227,87.0,164168,1410052,11,1023
2026-08-13T08:14:31+07:00,52227,88.5,164168,1410052,11,1023
2026-08-13T08:14:33+07:00,52227,87.5,164168,1410052,11,1023
2026-08-13T08:14:35+07:00,52227,86.5,164168,1410052,11,1023
2026-08-13T08:14:38+07:00,52227,85.0,164168,1410052,11,1023
2026-08-13T08:14:40+07:00,52227,92.5,164168,1410052,11,1023
2026-08-13T08:14:42+07:00,52227,88.5,164168,1410052,11,1023
2026-08-13T08:14:44+07:00,52227,79.0,164168,1410052,11,1023
2026-08-13T08:14:46+07:00,52227,80.5,164168,1410052,11,1023
2026-08-13T08:14:48+07:00,52227,81.5,164168,1410052,11,1023
2026-08-13T08:14:50+07:00,52227,83.5,164168,1410052,11,1023
2026-08-13T08:14:52+07:00,52227,86.5,164168,1410052,11,1023
2026-08-13T08:14:54+07:00,52227,88.0,164168,1410052,11,1023
2026-08-13T08:14:56+07:00,52227,89.5,164168,1410052,11,1023
2026-08-13T08:14:58+07:00,52227,85.0,164168,1410052,11,1023
2026-08-13T08:15:00+07:00,52227,84.5,164172,1410052,11,1023
2026-08-13T08:15:02+07:00,52227,97.0,164172,1410052,11,1023
2026-08-13T08:15:04+07:00,52227,105.5,164740,1410052,11,1023
2026-08-13T08:15:06+07:00,52227,96.0,164740,1410052,11,1023
2026-08-13T08:15:08+07:00,52227,98.5,164740,1410052,11,1023
2026-08-13T08:15:10+07:00,52227,91.0,164740,1410052,11,1023
2026-08-13T08:15:12+07:00,52227,99.0,164744,1410052,11,1023
2026-08-13T08:15:14+07:00,52227,82.5,164744,1410052,11,1023
2026-08-13T08:15:16+07:00,52227,94.0,164744,1410052,11,1022
2026-08-13T08:15:18+07:00,52227,87.0,164744,1410052,11,1023
2026-08-13T08:15:20+07:00,52227,89.5,164744,1410052,11,1023
2026-08-13T08:15:22+07:00,52227,85.5,164744,1410052,11,1023
2026-08-13T08:15:24+07:00,52227,84.0,164744,1410052,11,1023
2026-08-13T08:15:26+07:00,52227,87.0,164744,1410052,11,1023
2026-08-13T08:15:28+07:00,52227,89.5,164744,1410052,11,1023
2026-08-13T08:15:30+07:00,52227,97.5,164744,1410052,11,1023
2026-08-13T08:15:32+07:00,52227,94.0,164744,1410052,11,1023
2026-08-13T08:15:34+07:00,52227,93.5,164744,1410052,11,1023
2026-08-13T08:15:36+07:00,52227,87.5,164744,1410052,11,1023
2026-08-13T08:15:38+07:00,52227,86.5,164744,1410052,11,1023
2026-08-13T08:15:40+07:00,52227,85.5,164744,1410052,11,1023
